Title,Skills,budget,experience_level,rate_type,duration,description
Machine Learning model for traffic lane detection and measurement,"['Machine Learning', 'Computer Vision', 'Deep Learning']",-,Intermediate,Hourly: $10-$30,Less than 30 hrs/week,"Scope of work:
We are installing cameras on moving vehicles at a high elevation. The cameras are looking forward at the traffic in front of the car, we would like to develop a model that can detect all the lanes in front of the car. There could be multiple lanes visible in the field of view of the camera and the model should be able to detect every lane separately. 

Model Input: 
Video from a forward-facing camera mounted on a vehicle

Model Output:
1) Detect all the traffic lanes in the field of view of the camera
2) Label all the lanes and separate them from each other

Notes:
I don't have any training datasets, so you need to find available labeled and open-source datasets.

Example:
Here is a link to a video of a similar project:
https://youtu.be/QkFzemwKb_M?si=ew77I3HqIQalfO4D

Proposals:
1) I am interested to see proposals for developing a model from scratch and owning the model. We can start with developing a basic model first and then expand the development through multiple phases of development.
2) If you already have a model that can do this work, I am interested in paying you for processing some of the videos that I have collected. We can negotiate the price.

IF YOU ARE INTERESTED:
Send me the following:
1) A pdf file that shows all the previous work that you have done in the area that are similar to this project. Or a link to your website or videos of your work.
2) Briefly explain your approach to solving this problem and include:
a) Where do you plan to get the data from
b) What type of ML model do you want to train and why?
c) Your estimated number of hours to complete this task for a proof of concept"
Data Infrastructure and Data Engineering Setup ,"['Data Engineering', 'Database Architecture', 'Database Design', 'Python', 'Big Data', 'SQL', 'Data Science']",-,Intermediate,Hourly,Less than 30 hrs/week,"Please read the below carefully, this job if done well will likely lead to months of additional work along with discretionary performance bonuses in addition to normal contract rates. 

I am looking for assistance in creating a large data infrastructure in the cloud for the lowest cost. 

Good English communication skills are essential.

The workflow will go as follows:
1) Airflow or Perfect (or something similar) Implementation of Daily Data Downloads and Scraping Jobs, All code stored and implemented in the cloud. All individual jobs can be added to and maintained independently. They can be divided by person where one person would not be able to see what other is working on.
2) Database with multiple tables that are used for running each independent job above and data from the jobs above are stored. I should be able to maintain permissions and add/remove logins to the table. All Data should be easily accessible in python.

End product will serve as a data catalog for data scientists to pull data easily and cheaply from python, while person contracted maintains scraping and data infrastructure along with ongoing issues.

Best proposals should demonstrate knowledge in the big cloud providers to do the above, along with pitfalls and costs to chose the best solution. Thank you and feel free to ask questions. This is an urgent project that I hope to fill in the next 1-3 days.





"
Experienced Python Dev Needed for Anova Testing,"['Data Visualization', 'A/B Testing', 'R', 'anova', 'Python', 'Data Analysis']",-,Expert,Hourly: $25-$45,Less than 30 hrs/week,"Hi there,

Novus Studio is seeking for an experienced developer to create a tool/middleware that analysis the given data for each variant in a multi-variate experiment (for eCommerce businesses), and perform One-way Anova testing to come up with statistical significance of each variant, and generate a graph to showcase it on the product.

A prior experience with Anova and multi-variate testings is a must. Yet, the software architecture nor the necessities are not set yet.

We're offering to work on an exciting project with a remotely distributed and energetic team; this position can also potentially turn into a full-time offering.

More details will be shared with a short-listed candidates.

Cheers."
3D scenes with Neural Networks,"['Machine Learning', 'Python', 'Neural Network', 'Artificial Neural Network', 'TensorFlow', 'Deep Neural Network', 'Deep Learning', 'Artificial Intelligence', 'Computer Vision']","
        $300
      ",Expert,Fixed-price,-,"The projects should start by running the existing repo, and do something new on top of it, such as testing on a different dataset, finetuning for another application, or trying a different architecture/optimization method for the same task (see examples and ideas in the topics' repositories)."
"Experienced Data Engineer. Automation, ETL, Natural Language Processing (NLP)","['Data Transformation', 'Data Preprocessing', 'SQL', 'BigQuery', 'Databricks Platform', 'Python', 'Data Science', 'ETL', 'Machine Learning']",-,Intermediate,Hourly: $10-$20,Less than 30 hrs/week,"SUMMARY

I am looking for a Data Engineer who can help automate the collection and processing of data, utilizing web scraping technology, APIs, and python libraries like beautiful soup for processing.

For this project, the main tasks include:
- Designing and implementing effective scraping systems to collect and process data
- Integrating to our current system

SKILLS & EXPERIENCE

Ideal candidates for this project should have:
- Proven experience in data engineering, API, ETL, and scraping projects.
- Proficiency in Python Libraries such as BeautifulSoup or Scrapy.
- Demonstrable past work related to data science or data engineering

SPECIFIC DETAIL

I help sales teams perform better by providing them information about their prospects. My clients (companies) are looking for information that can help their salespeople personalize their outreach to prospective customers. I use APIs to gather the most recent news about prospect companies given a set of keywords. I need your help accessing these APIs, processing the data, and surfacing it in a usable manner."
Python Assistance,['Python'],"
        $20
      ",Expert,Fixed-price,-,"I'm currently using the following code to find whether all keywords are contained in a string:

def containsAllKeywords(text, keywords):
    for keyword in keywords:
        if keyword.lower() in text.lower():
            continue
        else:
            return False
    return True

I'm not sure this code is working as intended. 

For text=""ernest hemingway sun also rises"" I want keywords ""hemingway, ernest"" to return True. 
"
Personalization and curation ai algorithms,"['Artificial Intelligence', 'Machine Learning', 'Neural Network', 'Computer Vision', 'Artificial Neural Network']",-,Intermediate,Hourly: $17-$40,Less than 30 hrs/week,"Hi,
I have developed a mobile app for sports fans. Now it is time to increase its technical capabilities. 
I have a general set of questions and requirements.

Our app aggregates content.  We have apis to major social platforms and new sources.  Right now we don’t do much personalization.  We have simply linked given sources to teams.   We have linked sources to a general feed.  We thus have a lot of content coming in and simply put it in a general feed or a team feed.
My goal is to take in all the content and personalize.  This means users select favorite teams and players and perhaps another dimension.  We intake content, then decide if and where it should be displayed. As example an article may have destination in all users with the team mentioned in source content, as well as in the feed on important players mentioned in the content.  This is step .
Step 2 is being able to recommend content based on user behavior on our site.  I am interested in how to create this environment where we begin to identify content before we place in feed, treat all content as agnostic upon its arrival with emphasis on determining if and where it should be placed,  and finally a longer term strategy to personalize content at a higher level.
Any insight you have and experiences or solutions that you can submit to help me make decisions would be very appreciated.



"
Eye-Tracking Data Analyst,"['Microsoft Excel', 'Google Analytics', 'Data Analysis', 'Python', 'Data Entry']",-,Intermediate,Hourly,Less than 30 hrs/week,"We are seeking an experienced Eye-Tracking Data Analyst to join our team. As an Eye-Tracking Data Analyst, you will be responsible for analyzing eye-tracking data and providing valuable insights to our clients. You will work closely with our research team to design experiments, collect eye-tracking data, and conduct statistical analysis. The ideal candidate should have a strong background in eye-tracking data analysis and be proficient in statistical analysis software such as R or Python. Strong communication and presentation skills are also required as you will need to effectively communicate your findings to clients. If you are passionate about turning raw eye-tracking data into actionable insights, we would love to hear from you.

Skills required:
- Eye-tracking data analysis
- Statistical analysis
- R or Python
- Data visualization"
Topological Data Analysis (TDA) Platform Development,"['Python', 'Data Analysis', 'Microsoft Excel', 'Data Science', 'R']",-,Expert,Hourly,Less than 30 hrs/week,"We are seeking an experienced developer to help us create a cutting-edge Topological Data Analysis (TDA) platform specifically designed for biomedical data. The platform should be able to process, visualize, and analyze complex datasets, enabling researchers to gain valuable insights from their data. The ideal candidate should have a strong background in data analysis and visualization, as well as expertise in developing web-based platforms. The platform must output data in JSON format, adhering to a pre-defined schema. This is an exciting opportunity to contribute to the advancement of biomedical research and make a meaningful impact on the scientific community.

You must have experience. Link your demo or previous work."
AI-Powered Learning Platform,"['Node.js', 'RESTful API', 'Chatbot Integration', 'JavaScript', 'Artificial Intelligence', 'Python', 'Machine Learning', 'Natural Language Processing', 'Data Science']",-,Expert,Hourly,Less than 30 hrs/week,"AI-Powered Learning Platform

Project Overview:
We seek to revolutionize high school education by introducing an immersive learning experience through interactive AI avatars. Our platform initially focuses on English and French learning through real-time interaction between students and dynamic avatars, emphasizing listening comprehension, speaking, reading, and writing, with plans to incorporate additional languages and lessons in the future.

Who Can Apply:
Developers with expertise in:
Natural Language Processing
AI and Machine Learning
SaaS Project Implementation
Opensource technologies.

Project Scope:
You will develop an application facilitating communication between learners and animated AI avatars for English/French language learning using open-source technologies. The avatars will engage users in realistic conversations to improve language proficiency.

Key Functional Requirements:
User Registration and Authentication
Statistics Consultation for Admins
Student Management
Lesson Management
Real-time Communication with Avatars

Key Non-functional Requirements:
Performance Optimization
Security Measures (Token-based Access Control)
User-Friendly Interfaces based on Mockups

Proposed Tech Stack: (You can propose your preferred tech stack)
Frontend: React JS
Backend: Node.js

Data Science Integration:
Fine-tuning Mistral 7B language model (You're free to propose an alternative LLM).
Data Collection, Preprocessing, and Model Training with Python, TensorFlow/PyTorch, and Google Colab Pro
Integration of Avatar Animations with the AI's Text-to-Speech Output

Examples of realtime ai avatars
https://chat.d-id.com
https://www.soulmachines.com/
"
AI superimposing application ,"['Machine Learning', 'Artificial Intelligence', 'Graphic Design', 'TensorFlow']","
        $200
      ",Intermediate,Fixed-price,-,"Hello , just enquiring if you think youre capabale of creating an application that is an AI superimposing app.
The user takes a photo of an item of clothing in a non-fixed position (the clothing could be on a person or just flat lying on the ground )

The AI application then superimposes this item of clothing onto a digital mannequin. The detail quality must be very high.

Let me know if you would be able to do this and if so what you’re rough method would be ?

"
Distance-Weighted k-Nearest Neighbors for Classification & Regression,['R'],"
        $35
      ",Entry level,Fixed-price,-,"Write your own function that carries out k-Nearest Neighbors algorithm for classification AND regression. Your implementation must be able to do both! Then use the function to do some machine learning.
"
Data Annotation Specialist for Bridge Engineering Drawings - Machine Learning Dataset Creation,"['Machine Learning', 'Python', 'Image Processing', 'Image Annotation', 'Image Segmentation', 'Classification', 'Computer Vision', 'Machine Learning Model', 'Video Annotation', 'Data Annotation', 'Video Editing & Production', 'Microsoft Excel', 'Annotated Screenshot', 'Generative AI', 'Data Labeling']",-,Intermediate,Hourly,Less than 30 hrs/week,"Project Overview:
I am seeking a Data Annotation Specialist with experience in bridge engineering drawings to contribute to a machine learning project. The primary responsibility will be to annotate bridge design drawings using Roboflow (or a comparable annotation tool) to create bounding boxes around various elements, such as structural details, elevation views, cross-sections, notes, and title blocks. These annotations will be crucial for training a machine learning model to automatically recognize and extract information from bridge engineering drawings.

Key Responsibilities:
Accurately annotate bridge engineering drawings by creating bounding boxes around specific elements using Roboflow or similar software.
Identify and categorize elements such as structural details, elevation views, cross-sections, notes, title blocks, and material schedules.
Maintain a high standard of accuracy and consistency in annotations to enhance the quality of the machine learning model's training data.
Work closely with our data science team to refine annotation guidelines and improve the dataset quality.
Manage time effectively to meet project deadlines while maintaining the integrity of the annotation work.

For this project, annotations will be categorized under the following schema:

Structural Detail: Close-up views of specific parts of bridge design, like joints, supports, and bearings.
Elevation: Side or front views of the bridge showing external characteristics.
Cross-Section: Views showing the bridge cut along an axis to reveal internal structure.
Notes: Any textual annotations that provide context, specifications, or instructions.
Title_Block: Blocks containing critical information such as the drawing title, scale, revision history, and other metadata.
Material Schedule: Lists or charts detailing materials used in the bridge's construction, including quantities and specifications.
Plan View: Layouts showing the bridge design from above, illustrating the relationship between different parts of the structure.
General Annotations: Labels, dimensions, and other general notes not covered by the specific categories above.

Data
A small dataset is provided and there is an example markup- you will need to extract the drawings as PDFs. Do not worry about the report pages that are not drawings.
I will provide you with a larger dataset within a few days"
"LLMOPs Engineer | AWS Sagemaker, AWS EC2","['Python', 'Amazon Web Services', 'Amazon EC2', 'AWS Application']","
        $2,200
      ",Expert,Fixed-price,-,"Company Description: 
In the Loop is on a mission to make secondhand selling and consumption as widespread as possible. Our solution enables thrift and consignment store owners to go online by removing the main barriers to secondhand e-commerce. More specifically, our software reduces the time it takes to list a secondhand item online by 80%, saving these stores valuable time and resources. 
We are a growing team of environmentalists and hard working young people, driven by a need to build the future we want to see. We recently won the SXSW Climate Hub Pitch Competition and have a promising road ahead of us.

Job Description:
We are seeking a talented and motivated LLMOps/ MLOps engineer to join our team. Ideal candidates should have 3+ years deploying and scaling LLM applications. 

Technical Skills and Experience:
Large Language Model Expertise: Hands-on experience with large language models, including deployment and scalability considerations.
MLOps Proficiency: Solid understanding of MLOps practices, including the full lifecycle of machine learning models (development, deployment, monitoring, maintenance) in production environments.
Programming and Frameworks: Advanced skills in programming languages such as Python and familiarity with machine learning libraries (e.g., TensorFlow, PyTorch).
Deployment and Scaling: Minimum of 3 years' experience in deploying and scaling applications, with a specific focus on machine learning and large language models.
Cloud and DevOps: Experience with cloud computing platforms (AWS, Google Cloud Platform) and containerization technologies (Docker, Kubernetes). Knowledge of DevOps principles and tools is essential.
Data Engineering: Competence in handling big data technologies and constructing efficient data pipelines for machine learning models.
Security and Compliance: Awareness of security practices and compliance requirements relevant to machine learning applications.

Soft Skills and Other Qualifications:
Analytical and Problem-Solving Abilities: Strong capability to identify, troubleshoot, and resolve deployment and scaling issues.
Collaborative Team Player: Proven experience working effectively in cross-functional teams and communicating with both technical and non-technical stakeholders.
Project Management: Basic project management skills, including managing timelines, resources, and priorities.
Commitment to Continuous Learning: Willingness to stay up-to-date with the latest technologies and advancements in the field of large language models and MLOps.

Educational Background:
A Bachelor's or Master's degree in Computer Science, Data Science, Engineering, or a related field is preferred. Relevant experience may substitute for educational requirements.


Compensation:
$2200 USD per Month


Start Date:
May 2024
"
"AI model for counting cars, bicycles, and pedestrians in drone images","['Machine Learning', 'Computer Vision', 'Deep Learning']",-,Intermediate,Hourly: $10-$30,Less than 30 hrs/week,"Scope of work:
Develop an AI model that can process drone video from a busy intersection and count the number of cars, trucks, bicycles, and pedestrians moving in different directions. 

Model Input: 
Video from above an intersection
Model Output:
1) Label (Cars, trucks, bikes and pedestrians) in every frame
2) Count the number of each category that crosses each intersection.

Notes:
I don't have any training datasets, so you need to find available labeled and open-source datasets.

Example:
Here is a link to a video of a similar project:
https://youtu.be/XwzbFzqhF1Y?si=tm_uIgijsST2PxOL

Proposals:
1) I am interested to see proposals for developing a model from scratch and owning the model. We can start with developing a basic model first and then expand the development through multiple phases of development.
2) If you already have a model that can do this work, I am interested in paying you for processing some of the videos that I have collected. We can negotiate the price.

IF YOU ARE INTERESTED:
Send me the following:
1) A pdf file that shows all the previous work that you have done in the area that is similar to this project. Or a link to your website or videos of your work.
2) Briefly explain your approach to solving this problem and include:
a) Where do you plan to get the data from
b) What type of ML model do you want to train and why?
c) Your estimated number of hours to complete this task for a proof of concept"
Stochastic Dynamic Programming Job (Generous Pay for a Proper Expert) ,"['Academic Content Development', 'Equations', 'Mathematics Manual', 'Mathematical Modeling', 'Mathematics', 'Algorithm Development', 'Stochastic Programming', 'Integer Programming']",-,Intermediate,Hourly: $20-$30,not_sure,"Please read the following instructions before you apply: 

I'm interested to hire someone with sufficient background on Mathematical Programming (specifically stochastic dynamic programming), especially in topics like: 
- Two-Stage Recourse Problems. 
- Uncertainty and Modeling Issues. 
- Stochastic Integer Programs

The needed help covers many aspects like help in understanding the theory, application on examples and exercises ... etc. 

Thanks


"
Data Mining to help convert categorical data to numerical data,"['Microsoft Excel', 'Data Mining', 'Data Analysis']",-,Intermediate,Hourly: $3-$10,Less than 30 hrs/week,"I hope all is well with you. I am reaching out to see if you would be interested in data mining. I believe that is the right term. I am working on a capstone project. If you take a look at my Microsoft Excel Spreadsheet, you will see on each tab labeled the year and either qualitative or quantitative data. What I need is the categorical data to be converted into numerical data. I provided the numerical codes at the bottom of the quantitative data in each tab. I can provide the original survey instrument tool if need be. I also need you to code or create themes of the qualitative data in each year. Several themes could be, 1. Yes, I learned a lot, 2. No, it did not help, or 3. the Career Technical Education program helped me.  Please advise. Thanks!
"
EEG signal processing,"['Python', 'Deep Learning', 'Data Preprocessing', 'PyTorch', 'MATLAB', 'Machine Learning', 'Biomedical Engineering']",-,Expert,Hourly: $10-$20,Less than 30 hrs/week,"task: preprocess eeg data 
data will be given and "
Machine Learning Expert for Parkinson's Disease Dissertation,"['Data Analysis', 'Machine Learning', 'Data Science', 'R', 'Statistics']","
        $500
      ",Intermediate,Fixed-price,-,"We are seeking a talented and experienced machine learning expert to assist with my Diploma Thesis on Parkinson's Disease Classification with ML and DL methods. The Thesis will be based on a specific public paper (https://www.nature.com/articles/s41531-023-00625-7#Sec2) and will use the public dataset (https://uni-muenster.sciebo.de/s/q69vUfRc9vgBoWX#editor) and code (https://imigitlab.uni-muenster.de/published/pads-project/-/tree/main/project?ref_type=heads). The expert will be responsible for the technical component of the thesis and should be in communication with me on a weekly basis. Excellent knowledge of Machine Learning and Deep learning algorithms is needed, as well as commitment to a specific timeline for each of the deliverables.

Relevant skills:

- Machine learning
- Deep learning
- Data preprocessing
- Feature engineering
- Model selection and evaluation
- Python"
Tenserflow ML for Palm Scanning ,"['Machine Learning', 'TensorFlow']",-,Expert,Hourly: $30-$60,Less than 30 hrs/week,"What we need:
- To detect if a palm is present on camera in real time
- In real time identify fingers and 4 main palm lines: the life line, heart line (also called love line), money line (also called the fate line), head line

This should be done in Real time - not on photo. We have found a few examples of the technologies we think it should work best on:

https://github.com/google/mediapipe/blob/master/docs/solutions/hands.md
https://storage.googleapis.com/tfjs-models/demos/face-landmarks-detection/index.html?model=mediapipe_face_mesh
https://github.com/tensorflow/tfjs-models/tree/master/face-landmarks-detection
https://storage.googleapis.com/tfjs-models/demos/hand-pose-detection/index.html?model=mediapipe_hands

We already have a similar system in place but currently it's working with static images. Also we think that by using technologies identified above we will strongly improve the accuracy and efficiency of the system.

We are seeking a highly skilled professional capable of fulfilling the responsibilities of this role. Our team consists of experienced developers who will participate in the selection process. We value transparency and efficiency, thus we discourage applicants from proposing inflated time estimates for financial gain or applying without the requisite experience. Success in this project opens the possibility for ongoing collaboration, as we have numerous other projects in the pipeline, potentially leading to a long-term partnership."
Backtrade python optimization,"['Quantitative Finance', 'Python', 'Data Analysis']",-,Intermediate,Hourly: $30-$60,Less than 30 hrs/week,"I am seeking a highly skilled and experienced Backtrader specialist to join our project on a contractual basis. The ideal candidate will have a strong background in finance, particularly in stock market analysis, and will be proficient in Python and the Backtrader platform. The primary goal of the project is to develop a robust backtesting framework that allows  to test various parameters used to create a custom dataset. A first version of backtrader is completed which is incomplete. 

Key Responsibilities:

Develop and refine a backtesting tool using the Backtrader platform.
Implement logic to process custom datasets, including sorting, filtering, and criteria-based selection.
Ensure the tool can handle different timeframes and can test a variety of parameter sets.
Optimize the performance of the backtesting framework for accuracy and efficiency.

Qualifications:

Proven experience in financial analysis and algorithmic trading.
Strong proficiency in Python programming, especially with financial libraries and tools.
Extensive experience with Backtrader or similar backtesting platforms.
Ability to interpret complex financial data and translate it into effective algorithmic strategies.
Familiarity with stock market terminologies and concepts, especially related to stock ranking and performance analysis."
Combination Generation App Scope Document Review,['Statistics'],"
        $120
      ",Intermediate,Fixed-price,-,"Context:
Your client will hire a back-end developer to code an app (most likely in R or Python) and prepare a Scoping document with all the information a developer needs to decide if she or he applies to the job and to develop the task.
The document describes a series of phases with incremental levels of complexity that lead a developer to understand the various steps gradually till the result is achieved.
Job objectives:
1.	Review the job description to spot bugs or unprecise or misleading information that could lead to programming errors and to recommend its correction.
2.	Review and recommend the most efficient strategy to calculate all combinations requested minimizing the computational power and time required.
3.	Improve the document to make it more understandable and precise for a developer
4.	Confirm the formula that calculates all the possible Series combinations as a function of the number of Series and the number of Partitions.
App scope:
The scope of the app itself is to make all possible combinations of S series (investment funds) in P partitions with X increments. 
The input is the scoping document for the developer. This is a 15 to 20 pages MS Word document in English (Font size 11) with lots of graphs and calculation examples.
Out of the scope: 
Developing the app.

Communication with the client:
Fluent in English and Spanish. The deliverables must be in English
I am glad to clarify and discuss any topic or issue that arises on the project
I am located in the time zone GMT -5; it is easier for me to talk on weekdays from 5:30 am to 6:30 am or from 6:30 pm to 8:00 pm. Weekends any time.
No bias against gender, age, race geographical origin, or location.
During weekdays my response time is about 48 hours. On weekends max 8 hours unless I am traveling.
"
Dynamic Image Generation with TouchDesigner and Stable Diffusion,"['3D Animation', 'Video Animation', '3D Mockup', 'Visual Art', '3D Design', 'Generative Design', 'Graphic Design', 'Video Editing & Production', 'Interactive Design']",-,Intermediate,Hourly,Less than 30 hrs/week,"The project will utilize the TouchDesigner software to manipulate images using sensor data. Development of Python scripts will be undertaken to implement image/video transformations. Consideration will be given to the state, position, shape, perspective, transparency, colors, and noise to generate a variety of images. Connection and retrieval of sensor data will be followed by the generation of a report detailing values and images. The project will also focus on updating images in real-time and ensuring smooth animation transitions between generated images using a buffer."
Open AI Data Analyst Expert,['Data Analysis'],-,Expert,Hourly: $39-$75,Less than 30 hrs/week,I need someone to help me with Data Analyst from Open AI. I have used it and understand it but want an expert to quicken the process
AI engineer required - Urgent,"['Python', 'Artificial Intelligence', 'Machine Learning', 'Artificial Neural Network', 'TensorFlow']","
        $600
      ",Intermediate,Fixed-price,-,"We are seeking a talented and motivated AI Prompt Engineer to join our dynamic team. As an AI Prompt Engineer, you will play a key role in developing and optimizing the prompt generation algorithms that drive our platform. You will collaborate closely with our data scientists, software engineers, and content creators to enhance the effectiveness and adaptability of our AI-powered educational tools.

Responsibilities:

Design and implement algorithms for generating high-quality prompts tailored to individual student needs and learning objectives."
Custom OCR ML model,"['Machine Learning', 'Computer Vision']",-,Expert,Hourly: $40-$100,Less than 30 hrs/week,"Hi.

I'm looking for ML expert to build me a model for custom font OCR .

The deliverable is simple server where will pass you binarized images (like in example) for recognition.

As trading data I can provide 27 Uppercase characters 27 lowercase characters and numbers.

I could also provide you font file.

I need the latest architecture to be applied for this. Please do not offer me tesseract, easyocr, and most cheap public libs which are slow and impossible to tune. 

Please let me know which archetecture exactly you want to apply for this task.

Best regards.



"
Mathematics to analyze variable sensitivity between two syntax trees,"['Differential Calculus', 'Mathematical Modeling', 'Mathematics', 'Algorithm Development', 'Calculus', 'Equations', 'Python']",-,Expert,Hourly,Less than 30 hrs/week,"I need expert help defining the mathematical basis for an algorithm I'm developing. I may even need help to frame the problem.

Given an equation of any form, I have a set of two variable substitutions. For example, if the equation is x^y, I have the substitutions (x=2, y=4) and (x=3, y=5). The result f(x,y) for each case is 16 and 243 respectively. I want a way to algorithmically determine the ranking of the magnitude of each variable's contribution to the difference.

In this example, the fact that y jumps from 4 to 5 has a much stronger effect on the final difference from 16 to 243 than does the jump of x from 2 to 3. So the ranking is [y,x] (ideally along with a numeric score for each). For a different substitution pair, such as [(2,4), (100,5)], the ranking is [x,y]. 

What do I call and how do I measure this ""sensitivity/contribution/weight"" so that I can rank it? It feels like it's a calculus problem, but partial derivatives didn't work for me in this context (I could be wrong).

Bonus points:
1. It would be even better if I could do this for an arbitrary number of substitutions, beyond just applying this process to all 1:1 permutations. Could I extract information that can be formulated across the body of all substitutions? For example, what are the prevailing variable strengths overall, or which variable is causing the most disturbance? (Vague concepts, but that's why I need help to even formulate the problem).
2. Provide ideas on how this problem could be generalized even further.
3. Use Python Sympy

I would like someone with a strong mathematical and algorithmic background to help formulate the mathematical foundation for this and to explain it to me so I can implement the algorithm."
Build web scraping tools to analyse competitor websites conversion data,"['Data Scraping', 'Data Mining', 'Python', 'Data Extraction', 'Microsoft Excel', 'Data Entry', 'Lead Generation']",-,Intermediate,Hourly: $8-$25,Less than 30 hrs/week,would like to build web scraping tools to analyse my competitors websites financial data for my startup idea 
AI Expert Consultant,"['Artificial Intelligence', 'Natural Language Processing', 'Machine Learning']",-,Expert,Hourly,Less than 30 hrs/week,"Require an expert AI consultant to support a range of Generative AI projects and product development.

We are a Automation company that is transitioning into building a series of AI products for the public sector.

We are completing industrial R&D project(s) within the public sector and require experts to support the projects."
List Top 10 Performing Mutual Funds (User-Defined Period),['Microsoft Excel'],"
        $25
      ",Intermediate,Fixed-price,-,"This program will automatically identify the top 10 performing mutual funds based on your chosen timeframe.

Here's how it works:

You Define the Period: Specify the time frame you're interested in (e.g., past week, past month).
Data Retrieval: The program will access and process data on mutual fund performance for the chosen period.
Performance Calculation: It will calculate a performance metric for each mutual fund (e.g., percentage return).
Ranking and Output: The program will rank the mutual funds in descending order based on their performance metric, with the top 10 performers listed."
📌We need about 100 GB of Hindi text files in pdfs format ,['Hindi'],"
        $50
      ",Entry level,Fixed-price,-,"
📌We need about 50 GB of Hindi text files in pdfs format 

We need this to train AI to extract text 

🔖Conditions for accepting pdf files: 

1_ The Indian files must be of high resolution so that we can extract texts from them 

2_ There should be no religious books and no repetition in the books 

You must send a daily minimum of 2 GB 

* Payment will be $50 for each admission of 5 GB of Indian pdfs files "
i need Image j expert for confocal microscope images (Z stacks ) in particular,['TIFF'],"
        $100
      ",Intermediate,Fixed-price,-,"i have confocal images for bacterial biofilms using live/dead assays and Z stack for each.
need to intensify the images especially z-stack. and also Data analysis for each image "
Simulation (simul8),"['Business Analysis', 'Data Science', 'Simulink', 'MATLAB']","
        $140
      ",Intermediate,Fixed-price,-,"The objective is to develop and execute a Simul8 simulation model, perform experimental runs and make judgments on the results obtained, and I’m looking for a simul8 expert.

You should be able to demonstrate the ability to make an immediate contribution to a simulation consultancy unit and justify recommendations to an organisation based on a simulation analysis
2. Apply computer simulation methods and software to a diversity of problems, including manufacturing, services and healthcare
3. Explain the difference between deterministic and stochastic models; describe the principles and methods of sampling; describe the use of random numbers in sampling; explain the implications of sampling on the validity of simulation models; describe tactics to ensure validity of simulation models; distinguish between discrete and continuous simulation
4. Develop the skill to present complex analysis results to managers using a variety of formats."
Python Z3 Experts Needed for Translating English Specifications into Z3py code,"['Python', 'formal verification']","
        $2,000
      ",Expert,Fixed-price,-,"Need z3 experts for translating English specifications for a piece of accounting software into z3py code, along with thorough comments explaining exactly how and why the given code aligns with each piece of the English specifications.

Must be extremely thorough in your work, not missing any details.

More info in PM.

Thank you!"
Betting Strategy Development,"['Web Design', 'Web Development', 'API']","
        $120
      ",Intermediate,Fixed-price,-,"We are looking for a skilled individual to develop a comprehensive betting strategy. The goal is to create a system that can consistently generate profits for our clients. The successful candidate will have a deep understanding of the betting industry and will be able to apply their expertise in statistical analysis, data visualization, and market research. The ability to interpret and analyze market trends and patterns is crucial for this project. Additionally, the candidate should have experience with machine learning algorithms and be proficient in programming languages such as Python or R. Strong communication skills and the ability to work independently are also important. The selected candidate will be expected to deliver a detailed report outlining the strategy and provide regular updates on its performance. Previous experience in betting strategy development is preferred but not required. Key skills required for this project include: 
- Statistical analysis 
- Data visualization 
- Market research 
- Machine learning 
- Programming languages such as Python or R"
STATA project,['Stata'],"
        $70
      ",Intermediate,Fixed-price,-,"Using the following website

https://www.consumerfinance.gov/data-research/hmda/historic-data/

Select all records for ""Records included"" and plain language labels and HDMA codes for ""variable description"". The codebook for the datasets are given on the right of the website under the ""Data Dictionaries"" section.

The question of interest in this project is to see if there is racial discrimination in home mortgage lending. You will need to download, clean, and write a regression model and therefore, documenting your code in a .do file is very important.

The paper should 5-6 pages. Include an introduction, brief literature review, econometric specification/model, data description, a regression table (create columns including/excluding various fixed effects), a summary statistics table, explanation of regression results, and a conclusion.

Submit your .do file and log files with the project.
Please copy .do file and log files each on separate docs
Copy and paste .do and log files

Please title the files after the project, not my name

Run for the state of Ohio

Project must be done within 12 hours

Proof read is not necessary, and AI is acceptable 5-6 pages including regressions/graphs
"
Chat GPT / Excel Database Expert Required - ASAP! ,"['ChatGPT', 'Database Development', 'Microsoft Excel']",-,Expert,Hourly,Less than 30 hrs/week,"I have a list of 1500 business ideas that are in the following structure, in Word document format. 

1. Idea Number 
3. Idea Title 
2. Description of idea 

I need someone to take these 1500 ideas and put them into a Excel database (for easy filtering) with the following information added to EACH idea: 

a.	Idea number (keeping the same one that is already assigned). 
b.	Idea Category (i.e pets, automotive etc). 
c.	Local, national, or worldwide (i.e if the business is good for a local geography, or would be more suited to the entire UK population, or could be available for anyone in the world). 
d.	Capital Required (scale of 1-10, 10 being the most capital-intensive to launch this idea). 
e.	The Idea title. 
f.	Idea Description 
g.	Name examples (3 perfect name examples for each idea). 
h.	Vision (1 strong vision statement for each idea). 
i.	Problem that the idea solves. 
j.	UK Market size/opportunity (include relevant UK market statistics at present and into the 5-10 year future). 
k.	Why this should idea should interest you. 
l.	How to get started.

The sections above should be in columns, with the information added in the rows below. 

The additional data added, should be for the UK market only, and be as accurate, using UK market statistics where possible. 

I tried to do this myself with Chat GPT, and managed to get it working for 10 or so ideas, but when I tried to do more, it did not work. 

So, I therefore need someone to do this task for me, as quickly as possible. 

I have attached a sample of 100 ideas, so you can see how they currently are. 
"
